# 41 unique local-operation execution units derived from the 52 candidate rows
# 23 unique mapping methods; shared common contracts remain grouped to prevent duplicate implementation
# implementation remains unapproved until the user approves this checklist
local_operation	exchanges	owner	coverage_states	mapping_methods	official_row_count	official_operations	exposures	coverage_locators	rust_locators	verification	implementation_scope	approval_state
exchange.batch_orders	Bithumb	bithumb_owner	Partial	batch_orders	1	Bithumb | Exchange | Http | POST | /v2/orders/batch | createBatchOrders	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/bithumb/mod.rs:1285	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.cancel	Hyperliquid	hyperliquid_owner	Partial	cancel_order	1	Hyperliquid | Exchange endpoint | Http | POST | /exchange action=cancel | cancel	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.cancel_and_new_order	Upbit	upbit_owner	Partial	cancel_and_new_order	1	Upbit | Exchange | Http | POST | /v1/orders/cancel_and_new | cancel-and-new-order	provider_typed	bindings/common/src/coverage.rs::OPERATIONS	src/adapters/upbit/mod.rs:1542	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.cancel_order	Bithumb;Upbit	common_contract	Partial	cancel_order;cancel_order_by_client_id	2	Bithumb | Exchange | Http | DELETE | /v2/order | cancelOrder || Upbit | Exchange | Http | DELETE | /v1/order | cancel-order	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:250;src/adapter.rs:256	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.cancel_orders	Bithumb	bithumb_owner	Partial	cancel_orders	1	Bithumb | Exchange | Http | POST | /v2/orders/cancel | cancelBatchOrders	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:266	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.cancel_orders_by_ids	Upbit	upbit_owner	Partial	cancel_orders	1	Upbit | Exchange | Http | DELETE | /v1/orders/uuids | cancel-orders-by-ids	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:266	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.my_asset_stream	Bithumb;Upbit	common_contract	Partial	subscribe_account	2	Bithumb | Exchange | WebSocketStream | SUBSCRIBE | type=myAsset | myAsset || Upbit | Exchange | WebSocketStream | SUBSCRIBE | type=myAsset | myAsset	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:238	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.my_order_stream	Bithumb;Upbit	common_contract	Partial	subscribe_account	2	Bithumb | Exchange | WebSocketStream | SUBSCRIBE | type=myOrder | myOrder || Upbit | Exchange | WebSocketStream | SUBSCRIBE | type=myOrder | myOrder	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:238	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.new_order	Bithumb;Upbit	common_contract	Partial	place_order	2	Bithumb | Exchange | Http | POST | /v2/orders | createOrder || Upbit | Exchange | Http | POST | /v1/orders | new-order	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
exchange.order	Hyperliquid	hyperliquid_owner	Partial	place_order	1	Hyperliquid | Exchange endpoint | Http | POST | /exchange action=order | order	common_existing	bindings/common/src/coverage.rs::OPERATIONS	src/adapter.rs:244	Fixture	fixed_candidate;_do_not_add_items_outside_this_list	pending_user_approval;_implementation_not_authorized
