# all 937 general-SDK rows retained for semantic audit; not_checked is not implementation work
exchange	official_product	interface	method	path_or_message	operation_id	lifecycle	exposure	platform_boundary	platform_decision	local_operations	bridge_status	coverage_locator	coverage_implementation_state	rust_status	rust_locators	schema_status	schema_locator	codegen_status	codegen_locator	Python_status	Python_locator	Dart_status	Dart_locator	TypeScript_status	TypeScript_locator	verification	mapping_names	audit_result	next_action	reason
Binance	Algo Trading REST	Http	DELETE	/sapi/v1/algo/futures/order	cancelAlgoOrderFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	DELETE	/sapi/v1/algo/spot/order	cancelAlgoOrderSpotAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/futures/historicalOrders	queryHistoricalAlgoOrdersFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/futures/openOrders	queryCurrentAlgoOpenOrdersFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/futures/subOrders	querySubOrdersFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/spot/historicalOrders	queryHistoricalAlgoOrdersSpotAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/spot/openOrders	queryCurrentAlgoOpenOrdersSpotAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	GET	/sapi/v1/algo/spot/subOrders	querySubOrdersSpotAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	POST	/sapi/v1/algo/futures/newOrderTwap	timeWeightedAveragePriceFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
Binance	Algo Trading REST	Http	POST	/sapi/v1/algo/futures/newOrderVp	volumeParticipationFutureAlgo	documented_active	provider_typed	general_adapter_or_provider	not_applicable		not_connected		Unlinked	unreviewed		unreviewed		unreviewed		unreviewed		unreviewed		unreviewed				needs_evidence	continue_audit	Audited against the current repository; this active provider-typed operation has no connected Rust bridge or typed provider surface in this release.
