# Binance official API catalog snapshot
# baseline_date: 2026-08-10
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# source_catalog_sha256: 44fa6608f682b03358e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# source_detail_sha256: 2edabba856125f393ea3e5b7f53d25e791f5eea4d790bff91db86b95151116fc8e
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	authentication	risk	lifecycle	exposure
Algo Trading REST	Http	DELETE	/sapi/v1/algo/futures/order	cancelAlgoOrderFutureAlgo	TRADE	FinancialWrite	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/futures/openOrders	queryCurrentAlgoOpenOrdersFutureAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/futures/historicalOrders	queryHistoricalAlgoOrdersFutureAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/futures/subOrders	querySubOrdersFutureAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	POST	/sapi/v1/algo/futures/newOrderTwap	timeWeightedAveragePriceFutureAlgo	TRADE	FinancialWrite	documented_active	provider_typed
Algo Trading REST	Http	POST	/sapi/v1/algo/futures/newOrderVp	volumeParticipationFutureAlgo	TRADE	FinancialWrite	documented_active	provider_typed
Algo Trading REST	Http	DELETE	/sapi/v1/algo/spot/order	cancelAlgoOrderSpotAlgo	TRADE	FinancialWrite	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/spot/openOrders	queryCurrentAlgoOpenOrdersSpotAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/spot/historicalOrders	queryHistoricalAlgoOrdersSpotAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	GET	/sapi/v1/algo/spot/subOrders	querySubOrdersSpotAlgo	USER_DATA	Read	documented_active	provider_typed
Algo Trading REST	Http	POST	/sapi/v1/algo/spot/newOrderTwap	timeWeightedAveragePriceSpotAlgo	TRADE	FinancialWrite	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/alpha-trade/agg-trades	aggregatedTrades	Public	Read	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/alpha-trade/fullDepth	fullDepth	Public	Read	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/alpha-trade/get-exchange-info	getExchangeInfo	Public	Read	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/alpha-trade/klines	klines	Public	Read	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/alpha-trade/ticker	ticker	Public	Read	documented_active	provider_typed
Alpha Trading REST	Http	GET	/bapi/defi/v1/public/wallet-direct/buw/wallet/cex/alpha/all/token/list	tokenList	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@aggTrade	aggregateTradeStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/!bookTicker	allBookTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/!miniTicker@arr	allMiniTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/!ticker@arr	allTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/came@allTokens@ticker24	allTokens24hTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@bookTicker	bookTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@depth{levels}@{interval}	partialDepthStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@fulldepth@{interval}	fullDepthStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@kline_{interval}	klineStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/came@{contractAddress}@{chainId}@kline_{interval}	contractKlineStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@miniTicker	miniTickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@ticker	tickerStream	Public	Read	documented_active	provider_typed
Alpha WebSocket Market Streams	WebSocketStream	POST	/{symbol}@trade	tradeStream	Public	Read	documented_active	provider_typed
Stocks Trading REST	Http	GET	/sapi/v1/equity/market/exchangeInfo	exchangeInfo	MARKET_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/market/tokenized-assets	tokenizedAssets	MARKET_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/market/quote	latestQuote	MARKET_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/order/place	placeEquityOrder	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/order/cancel	cancelEquityOrder	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/order/cancel-all	cancelAllEquityOrders	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/order/open-orders	currentOpenOrders	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/order/history	equityOrderHistory	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/order/detail	equityOrderDetail	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/trade/history	equityTradeHistory	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/tokenized/mint	tokenizedMint	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/tokenized/redeem	tokenizedRedeem	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/tokenized/convert-status	tokenizedConvertStatus	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	GET	/sapi/v1/equity/tokenized/history	tokenizedConvertHistory	USER_DATA	Read	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/account/disclaimer	signUsEquityDisclaimer	TRADE	FinancialWrite	documented_active	platform_limited
Stocks Trading REST	Http	POST	/sapi/v1/equity/listenKey	createRenewListenKey	USER_STREAM	AccountWrite	documented_active	platform_limited
Stocks Trading WebSocket Streams	WebSocketStream	POST	/price	priceStream	Public	Read	documented_active	platform_limited
