# Binance current curated coverage bridge snapshot
# official_catalog: manifest.tsv
# source_catalog: https://developers.binance.com/en/docs/llms.txt
# source_detail: https://developers.binance.com/en/docs/llms-full.txt
# Source catalog risk classifications intentionally differ from current curated coverage for spot/user_data_stream_signature, usd_m/change_initial_leverage, usd_m/change_margin_type, and wallet/withdraw; this bridge does not reconcile them.
# columns: local_product	local_operation_id	official_product	official_interface	official_method	official_path_or_message	official_operation_id	mapping_note
spot	exchange_info	Spot REST	Http	GET	/api/v3/exchangeInfo	exchangeInfo	exact
spot	recent_trades	Spot REST	Http	GET	/api/v3/trades	getTrades	exact
spot	aggregate_trades	Spot REST	Http	GET	/api/v3/aggTrades	aggTrades	exact
spot	average_price	Spot REST	Http	GET	/api/v3/avgPrice	avgPrice	exact
spot	order_book	Spot REST	Http	GET	/api/v3/depth	depth	exact
spot	ticker_24hr	Spot REST	Http	GET	/api/v3/ticker/24hr	ticker24hr	exact
spot	klines	Spot REST	Http	GET	/api/v3/klines	klines	exact
spot	account_information	Spot REST	Http	GET	/api/v3/account	getAccount	exact
spot	open_orders	Spot REST	Http	GET	/api/v3/openOrders	getOpenOrders	exact
spot	new_order	Spot REST	Http	POST	/api/v3/order	newOrder	exact
spot	cancel_order	Spot REST	Http	DELETE	/api/v3/order	deleteOrder	exact
spot	account_trades	Spot REST	Http	GET	/api/v3/myTrades	myTrades	exact
spot	test_order	Spot REST	Http	POST	/api/v3/order/test	orderTest	exact
spot	cancel_all_open_orders	Spot REST	Http	DELETE	/api/v3/openOrders	deleteOpenOrders	exact
spot	query_order	Spot REST	Http	GET	/api/v3/order	getOrder	exact
spot	trade_stream	Spot WebSocket Market Streams	WebSocketStream	POST	/{symbol}@trade	trade	exact; local SUBSCRIBE maps to documented stream
spot	partial_book_depth_stream	Spot WebSocket Market Streams	WebSocketStream	POST	/{symbol}@depth{levels}@{updateSpeed}	partialBookDepth	exact; local SUBSCRIBE maps to documented stream
spot	ticker_stream	Spot WebSocket Market Streams	WebSocketStream	POST	/{symbol}@ticker	ticker	exact; local SUBSCRIBE maps to documented stream
spot	kline_stream	Spot WebSocket Market Streams	WebSocketStream	POST	/{symbol}@kline_{interval}	kline	exact; local SUBSCRIBE maps to documented stream
spot	user_data_stream_signature	Spot WebSocket	WebSocketRequest	POST	/userDataStream.subscribe.signature	userDataStreamSubscribeSignature	exact; local REQUEST maps to documented WebSocket request
usd_m	exchange_info	Futures (USD-M) REST	Http	GET	/fapi/v1/exchangeInfo	exchangeInformation	exact
usd_m	recent_trades	Futures (USD-M) REST	Http	GET	/fapi/v1/trades	recentTradesList	exact
usd_m	order_book	Futures (USD-M) REST	Http	GET	/fapi/v1/depth	orderBook	exact
usd_m	ticker_24hr	Futures (USD-M) REST	Http	GET	/fapi/v1/ticker/24hr	ticker24hrPriceChangeStatistics	exact
