# Bithumb official API exposure classification
# baseline_date: 2026-08-10
# source_catalog: bithumb-2026-08-10.tsv
# coverage_bridge: bithumb-coverage-2026-08-10.tsv
# columns: official_product	interface	method	path_or_message	operation_id	lifecycle	exposure
Quotation	Http	GET	/v1/market/all	거래-대상-목록-조회	documented_active	common_and_provider
Quotation	Http	GET	/v1/candles/minutes/{unit}	분minute-캔들-조회	documented_active	common_existing
Quotation	Http	GET	/v1/candles/days	일day-캔들-조회	documented_active	common_existing
Quotation	Http	GET	/v1/candles/weeks	주week-캔들-조회	documented_active	common_existing
Quotation	Http	GET	/v1/candles/months	월month-캔들-조회	documented_active	common_existing
Quotation	Http	GET	/v1/trades/ticks	체결-내역-조회	documented_active	common_existing
Quotation	Http	GET	/v1/ticker	현재가-조회	documented_active	common_existing
Quotation	Http	GET	/v1/orderbook	호가-조회	documented_active	common_existing
Quotation	Http	GET	/v1/market/virtual_asset_warning	경보제-조회	documented_active	provider_typed
Quotation	Http	GET	/v1/notices	공지사항-조회	documented_active	provider_typed
Quotation	Http	GET	/v2/fee/inout/{currency}	입출금-수수료-조회	documented_active	provider_typed
Quotation	WebSocketStream	SUBSCRIBE	type=ticker	ticker	documented_active	common_existing
Quotation	WebSocketStream	SUBSCRIBE	type=trade	trade	documented_active	common_existing
Quotation	WebSocketStream	SUBSCRIBE	type=orderbook	orderbook	documented_active	common_existing
Exchange	Http	GET	/v1/accounts	전체-자산-조회	documented_active	common_existing
Exchange	Http	GET	/v1/orders/chance	주문-가능-정보	documented_active	common_existing
Exchange	Http	GET	/v1/orders	주문-리스트-조회	documented_active	common_and_provider
Exchange	Http	GET	/v1/order	개별-주문-조회	documented_active	common_and_provider
Exchange	Http	POST	/v2/orders/search	다건-주문-조회	documented_active	common_existing
Exchange	Http	GET	/v2/orders/pending	대기-주문-목록-조회	documented_active	provider_typed
Exchange	Http	GET	/v2/orders/history	종료-주문-목록-조회	documented_active	common_and_provider
Exchange	Http	POST	/v2/orders	주문-요청	documented_active	common_existing
Exchange	Http	DELETE	/v2/order	주문-취소-접수	documented_active	common_existing
Exchange	Http	POST	/v2/orders/batch	다건-주문-요청	documented_active	provider_typed
Exchange	Http	POST	/v2/orders/cancel	다건-주문-취소-접수	documented_active	common_existing
Exchange	WebSocketStream	SUBSCRIBE	type=myOrder	myOrder	documented_active	common_existing
Exchange	WebSocketStream	SUBSCRIBE	type=myAsset	myAsset	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/status/wallet	입출금-현황	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/deposits/coin_addresses	전체-입금-주소-조회	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/deposits/coin_address	개별-입금-주소-조회	documented_active	common_existing
Deposits and withdrawals	Http	POST	/v1/deposits/generate_coin_address	입금-주소-생성-요청	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/withdraws/chance	출금-가능-정보	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/withdraws/coin_addresses	출금-허용-주소-리스트-조회	documented_active	provider_typed
Deposits and withdrawals	Http	POST	/v1/withdraws/coin	가상-자산-출금-요청	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/withdraw	개별-출금-조회	documented_active	common_existing
Deposits and withdrawals	Http	DELETE	/v1/withdraws/coin	가상-자산-출금-취소	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/deposits	입금-리스트-조회	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/deposit	개별-입금-조회	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/withdraws	출금-리스트-조회	documented_active	common_existing
Deposits and withdrawals	Http	GET	/v1/api_keys	api-키-리스트-조회	documented_active	provider_typed
TWAP	Http	GET	/v1/twap	twap-주문내역-조회	documented_active	provider_typed
TWAP	Http	POST	/v1/twap	twap-주문-요청	documented_active	provider_typed
TWAP	Http	DELETE	/v1/twap	twap-주문-취소	documented_active	provider_typed
KRW deposits and withdrawals	Http	GET	/v1/withdraws/krw	원화-출금-리스트-조회	documented_active	provider_typed
KRW deposits and withdrawals	Http	POST	/v1/withdraws/krw	원화-출금-요청	documented_active	provider_typed
KRW deposits and withdrawals	Http	GET	/v1/deposits/krw	원화-입금-리스트-조회	documented_active	provider_typed
KRW deposits and withdrawals	Http	POST	/v1/deposits/krw	원화-입금	documented_active	provider_typed
