# Bithumb curated coverage-to-official catalog bridge
# baseline_date: 2026-08-10
# local_source: bindings/common/src/coverage.rs OPERATIONS (47 Bithumb rows)
# official_source: bithumb-2026-08-10.tsv
# columns: local_product	local_operation_id	official_product	official_interface	official_method	official_path_or_message	official_operation_id	mapping_note
quotation	markets	Quotation	Http	GET	/v1/market/all	거래-대상-목록-조회	exact
quotation	candles_minutes	Quotation	Http	GET	/v1/candles/minutes/{unit}	분minute-캔들-조회	exact
quotation	candles_days	Quotation	Http	GET	/v1/candles/days	일day-캔들-조회	exact
quotation	candles_weeks	Quotation	Http	GET	/v1/candles/weeks	주week-캔들-조회	exact
quotation	candles_months	Quotation	Http	GET	/v1/candles/months	월month-캔들-조회	exact
quotation	trades_ticks	Quotation	Http	GET	/v1/trades/ticks	체결-내역-조회	exact
quotation	ticker	Quotation	Http	GET	/v1/ticker	현재가-조회	exact
quotation	orderbook	Quotation	Http	GET	/v1/orderbook	호가-조회	exact
quotation	virtual_asset_warning	Quotation	Http	GET	/v1/market/virtual_asset_warning	경보제-조회	exact
quotation	notices	Quotation	Http	GET	/v1/notices	공지사항-조회	exact
quotation	inout_fee	Quotation	Http	GET	/v2/fee/inout/{currency}	입출금-수수료-조회	exact
quotation	ticker_stream	Quotation	WebSocketStream	SUBSCRIBE	type=ticker	ticker	local_message_omits_type_prefix
quotation	trade_stream	Quotation	WebSocketStream	SUBSCRIBE	type=trade	trade	local_message_omits_type_prefix
quotation	orderbook_stream	Quotation	WebSocketStream	SUBSCRIBE	type=orderbook	orderbook	local_message_omits_type_prefix
exchange	balances	Exchange	Http	GET	/v1/accounts	전체-자산-조회	exact
exchange	available_order_info	Exchange	Http	GET	/v1/orders/chance	주문-가능-정보	exact
exchange	orders	Exchange	Http	GET	/v1/orders	주문-리스트-조회	exact
exchange	get_order	Exchange	Http	GET	/v1/order	개별-주문-조회	exact
exchange	orders_by_ids	Exchange	Http	POST	/v2/orders/search	다건-주문-조회	exact
exchange	pending_orders	Exchange	Http	GET	/v2/orders/pending	대기-주문-목록-조회	exact
exchange	closed_orders	Exchange	Http	GET	/v2/orders/history	종료-주문-목록-조회	common order_history; provider closed_orders
exchange	new_order	Exchange	Http	POST	/v2/orders	주문-요청	exact
exchange	batch_orders	Exchange	Http	POST	/v2/orders/batch	다건-주문-요청	exact
exchange	cancel_order	Exchange	Http	DELETE	/v2/order	주문-취소-접수	exact
exchange	cancel_orders	Exchange	Http	POST	/v2/orders/cancel	다건-주문-취소-접수	exact
exchange	my_order_stream	Exchange	WebSocketStream	SUBSCRIBE	type=myOrder	myOrder	local_message_omits_type_prefix
exchange	my_asset_stream	Exchange	WebSocketStream	SUBSCRIBE	type=myAsset	myAsset	local_message_omits_type_prefix
wallet	wallet_status	Deposits and withdrawals	Http	GET	/v1/status/wallet	입출금-현황	official_product_is_deposits_and_withdrawals
wallet	deposit_addresses	Deposits and withdrawals	Http	GET	/v1/deposits/coin_addresses	전체-입금-주소-조회	official_product_is_deposits_and_withdrawals
wallet	deposit_address	Deposits and withdrawals	Http	GET	/v1/deposits/coin_address	개별-입금-주소-조회	official_product_is_deposits_and_withdrawals
wallet	create_deposit_address	Deposits and withdrawals	Http	POST	/v1/deposits/generate_coin_address	입금-주소-생성-요청	official_product_is_deposits_and_withdrawals
wallet	withdraw_chance	Deposits and withdrawals	Http	GET	/v1/withdraws/chance	출금-가능-정보	official_product_is_deposits_and_withdrawals
wallet	withdraw_addresses	Deposits and withdrawals	Http	GET	/v1/withdraws/coin_addresses	출금-허용-주소-리스트-조회	provider withdrawal_addresses; common prepare_withdrawal separately composes chance and allowlist checks
wallet	withdraw_coin	Deposits and withdrawals	Http	POST	/v1/withdraws/coin	가상-자산-출금-요청	official_product_is_deposits_and_withdrawals
wallet	withdrawal	Deposits and withdrawals	Http	GET	/v1/withdraw	개별-출금-조회	official_product_is_deposits_and_withdrawals
wallet	cancel_withdrawal	Deposits and withdrawals	Http	DELETE	/v1/withdraws/coin	가상-자산-출금-취소	official_product_is_deposits_and_withdrawals
wallet	deposits	Deposits and withdrawals	Http	GET	/v1/deposits	입금-리스트-조회	official_product_is_deposits_and_withdrawals
wallet	deposit	Deposits and withdrawals	Http	GET	/v1/deposit	개별-입금-조회	official_product_is_deposits_and_withdrawals
wallet	withdrawals	Deposits and withdrawals	Http	GET	/v1/withdraws	출금-리스트-조회	official_product_is_deposits_and_withdrawals
wallet	api_keys	Deposits and withdrawals	Http	GET	/v1/api_keys	api-키-리스트-조회	official_product_is_deposits_and_withdrawals
twap	twap	TWAP	Http	GET	/v1/twap	twap-주문내역-조회	exact
twap	create_twap	TWAP	Http	POST	/v1/twap	twap-주문-요청	exact
twap	cancel_twap	TWAP	Http	DELETE	/v1/twap	twap-주문-취소	exact
krw	withdrawals	KRW deposits and withdrawals	Http	GET	/v1/withdraws/krw	원화-출금-리스트-조회	official_product_is_krw_deposits_and_withdrawals
krw	withdraw	KRW deposits and withdrawals	Http	POST	/v1/withdraws/krw	원화-출금-요청	official_product_is_krw_deposits_and_withdrawals
krw	deposits	KRW deposits and withdrawals	Http	GET	/v1/deposits/krw	원화-입금-리스트-조회	official_product_is_krw_deposits_and_withdrawals
krw	deposit	KRW deposits and withdrawals	Http	POST	/v1/deposits/krw	원화-입금	official_product_is_krw_deposits_and_withdrawals
