# Hyperliquid documented-exact logical-operation catalog snapshot
# source_index: https://hyperliquid.gitbook.io/hyperliquid-docs/llms.txt
# source_note: Hyperliquid GitBook pages are mutable; see catalog README for the reviewed snapshot date.
# source_api: https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/info-endpoint ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/exchange-endpoint ; https://hyperliquid.gitbook.io/hyperliquid-docs/hypercore/multi-sig ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/priority-fees
# source_websocket: https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/websocket/subscriptions ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/websocket/timeouts-and-heartbeats
# source_deployers: https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/hip-3-deployer-actions ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/hip-4-deployer-actions ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/api/deploying-hip-1-and-hip-2-assets
# source_hyperevm: https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/hyperevm/json-rpc ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/hyperevm/interacting-with-hypercore ; https://hyperliquid.gitbook.io/hyperliquid-docs/for-developers/hyperevm/dual-block-architecture
# scope: excludes Explorer because the official documentation exposes no complete Explorer request schema; excludes SDK-only-unverified operations.
# exposure: local public-surface classification; see README.md
# columns: official_product	interface	method	path_or_message	operation_id	lifecycle	exposure
Info endpoint	Http	POST	/info type=allMids	allMids	documented_active	provider_typed
Info endpoint	Http	POST	/info type=openOrders	openOrders	documented_active	provider_typed
Info endpoint	Http	POST	/info type=frontendOpenOrders	frontendOpenOrders	documented_active	common_existing
Info endpoint	Http	POST	/info type=userFills	userFills	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userFillsByTime	userFillsByTime	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userRateLimit	userRateLimit	documented_active	provider_typed
Info endpoint	Http	POST	/info type=orderStatus	orderStatus	documented_active	provider_typed
Info endpoint	Http	POST	/info type=l2Book	l2Book	documented_active	common_existing
Info endpoint	Http	POST	/info type=candleSnapshot	candleSnapshot	documented_active	common_existing
Info endpoint	Http	POST	/info type=maxBuilderFee	maxBuilderFee	documented_active	provider_typed
Info endpoint	Http	POST	/info type=historicalOrders	historicalOrders	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userTwapSliceFills	userTwapSliceFills	documented_active	provider_typed
Info endpoint	Http	POST	/info type=subAccounts	subAccounts	documented_active	provider_typed
Info endpoint	Http	POST	/info type=vaultDetails	vaultDetails	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userVaultEquities	userVaultEquities	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userRole	userRole	documented_active	provider_typed
Info endpoint	Http	POST	/info type=portfolio	portfolio	documented_active	provider_typed
Info endpoint	Http	POST	/info type=referral	referral	documented_active	provider_typed
Info endpoint	Http	POST	/info type=userFees	userFees	documented_active	provider_typed
