# 52 official Partial/Planned/Blocked rows; this is a candidate-row list, not 52 independent implementation tasks
exchange	official_product	interface	method	path_or_message	operation_id	lifecycle	exposure	platform_boundary	platform_decision	local_operations	bridge_status	coverage_locator	coverage_state	rust_status	rust_locators	schema_status	schema_locator	codegen_status	codegen_locator	Python_status	Python_locator	Dart_status	Dart_locator	TypeScript_status	TypeScript_locator	verification	audit_status	mapping_names	next_batch
Binance	Futures (USDⓈ-M) REST	Http	DELETE	/fapi/v1/order	cancelOrder	documented_active	common_existing	general_adapter_or_provider	해당 없음	usd_m.cancel_order	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:250;src/adapter.rs:256	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	cancel_order;cancel_order_by_client_id	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Futures (USDⓈ-M) REST	Http	GET	/fapi/v1/aggTrades	compressedAggregateTradesList	documented_active	provider_typed	general_adapter_or_provider	해당 없음	usd_m.aggregate_trades	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapters/binance/mod.rs:644	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	aggregate_trades	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Futures (USDⓈ-M) REST	Http	POST	/fapi/v1/order	newOrder	documented_active	common_existing	general_adapter_or_provider	해당 없음	usd_m.new_order	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:244	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	place_order	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Futures (USDⓈ-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@aggTrade	aggregateTradeStreams	documented_active	provider_typed	general_adapter_or_provider	해당 없음	usd_m.aggregate_trade_stream	connected	bindings/common/src/coverage.rs::OPERATIONS	Planned	present	src/adapters/binance/mod.rs:644	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Documented	Blocked	aggregate_trades	공용 MarketEvent가 집계 체결의 fill ID 범위를 보존하지 못함; 억지 변환·새 공개 API 금지
Binance	Futures (USDⓈ-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@depth{levels}@{updateSpeed}	partialBookDepthStreams	documented_active	common_existing	general_adapter_or_provider	해당 없음	usd_m.partial_book_depth_stream	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:78	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	LiveRead	Partial	subscribe	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Futures (USDⓈ-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@kline_{interval}	klineCandlestickStreams	documented_active	common_existing	general_adapter_or_provider	해당 없음	usd_m.kline_stream	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:78	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	LiveRead	Partial	subscribe	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Futures (USDⓈ-M) WebSocket Market Streams	WebSocketStream	POST	/{symbol}@ticker	individualSymbolTickerStreams	documented_active	common_existing	general_adapter_or_provider	해당 없음	usd_m.ticker_stream	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:78	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	LiveRead	Partial	subscribe	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Spot REST	Http	DELETE	/api/v3/order	deleteOrder	documented_active	common_existing	general_adapter_or_provider	해당 없음	spot.cancel_order	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:250;src/adapter.rs:256	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	cancel_order;cancel_order_by_client_id	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Spot REST	Http	GET	/api/v3/aggTrades	aggTrades	documented_active	provider_typed	general_adapter_or_provider	해당 없음	spot.aggregate_trades	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapters/binance/mod.rs:644	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	aggregate_trades	원장/감사 queue에 유지; 새 발견은 다음 backlog
Binance	Spot REST	Http	POST	/api/v3/order	newOrder	documented_active	common_existing	general_adapter_or_provider	해당 없음	spot.new_order	connected	bindings/common/src/coverage.rs::OPERATIONS	Partial	present	src/adapter.rs:244	present	bindings/common/src/schema.rs::binding_schema	present	bindings/python/python/maxt/_generated_contract.py;bindings/dart/lib/src/generated_contract.dart;bindings/typescript/src/generated/contract.ts	present	bindings/python/python/maxt/adapters.py	present	bindings/dart/lib/src/generated_provider_methods.dart	present	bindings/typescript/src/generated/api.ts	Fixture	Partial	place_order	원장/감사 queue에 유지; 새 발견은 다음 backlog
